num,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,sum,min,max,splts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory
27,1526344333,e,1,192.168.100.150,36663,192.168.100.3,113,2,120,RST,1526344333,122,0.000057,0.000057,0,0.000057,0.000057,0.000057,1,1,60,60,17543.85938,0,0,0,Reconnaissance,0
28,1526344333,e,1,192.168.100.4,36663,192.168.100.3,995,3,180,RST,1526344333,123,0.00012,0.00012,0,0.00012,0.00012,0.00012,2,1,120,60,16666.66797,8333.333984,0,0,Reconnaissance,0
29,1526344333,e,1,192.168.100.27,36663,192.168.100.3,1723,2,120,RST,1526344333,124,0.000041,0.000041,0,0.000041,0.000041,0.000041,1,1,60,60,24390.24414,0,0,0,Reconnaissance,0
30,1526344333,e,1,192.168.100.27,36663,192.168.100.3,1720,2,120,RST,1526344333,125,0.000066,0.000066,0,0.000066,0.000066,0.000066,1,0,60,60,15151.51465,0,0,0,Reconnaissance,0
31,1526344333,e,1,192.168.100.150,36663,192.168.100.3,993,3,180,RST,1526344333,126,0.000105,0.000105,0,0.000105,0.000105,0.000105,2,1,120,60,19047.61914,9523.80957,0,0,Reconnaissance,1
32,1526344333,e,1,192.168.100.4,36663,192.168.100.3,445,2,120,RST,1526344333,127,0.000061,0.000061,0,0.000061,0.000061,0.000061,1,1,60,60,16393.44336,0,0,1,Reconnaissance,0
33,1526344333,e,1,192.168.100.150,36663,192.168.100.3,135,2,120,RST,1526344333,128,0.000062,0.000062,0,0.000062,0.000062,0.000062,1,1,60,60,16129.03223,0,0,1,Reconnaissance,1
34,1526344333,e,1,192.168.100.1,36663,192.168.100.3,5900,2,120,RST,1526344333,129,0.000063,0.000063,0,0.000063,0.000063,0.000063,1,1,60,60,15873.01563,0,0,1,Reconnaissance,1
35,1526344333,e,1,192.168.100.149,36663,192.168.100.3,22,3,180,RST,1526344333,130,0.000083,0.000083,0,0.000083,0.000083,0.000083,2,1,120,60,24096.38672,12048.19336,0,1,Reconnaissance,1
36,1526344333,e,1,192.168.100.150,36663,192.168.100.3,25,3,180,RST,1526344333,131,0.000111,0.000111,0,0.000111,0.000111,0.000111,2,1,120,60,18018.01758,9009.008789,0,1,Reconnaissance,1
37,1526344333,e,1,192.168.100.149,36663,192.168.100.3,8888,2,120,RST,1526344333,132,0.000007,0.000007,0,0.000007,0.000007,0.000007,1,1,60,60,142857.1406,0,0,1,Reconnaissance,1
38,1526344333,e,1,192.168.100.149,36663,192.168.100.3,179,2,120,RST,1526344333,133,0.00003,0.00003,0,0.00003,0.00003,0.00003,1,1,60,60,33333.33594,0,0,1,Reconnaissance,1
39,1526344333,e,1,192.168.100.150,36663,192.168.100.3,4002,2,120,RST,1526344333,134,0.000045,0.000045,0,0.000045,0.000045,0.000045,1,1,60,60,22222.22266,0,0,1,Reconnaissance,1
40,1526344333,e,1,192.168.100.149,36663,192.168.100.3,3389,2,120,RST,1526344333,135,0.000008,0.000008,0,0.000008,0.000008,0.000008,1,1,60,60,125000,0,0,1,Reconnaissance,1
41,1526344333,e,1,192.168.100.150,36663,192.168.100.3,21,3,180,RST,1526344333,136,0.000043,0.000043,0,0.000043,0.000043,0.000043,2,1,120,60,46511.62891,23255.81445,0,1,Reconnaissance,1
42,1526344333,e,1,192.168.100.149,36663,192.168.100.3,256,2,120,RST,1526344333,137,0.000017,0.000017,0,0.000017,0.000017,0.000017,1,1,60,60,58823.52734,0,0,1,Reconnaissance,1
43,1526344333,e,1,192.168.100.1,36663,192.168.100.3,1141,2,120,RST,1526344333,138,0.000021,0.000021,0,0.000021,0.000021,0.000021,1,1,60,60,47619.04688,0,0,1,Reconnaissance,1
44,1526344333,e,1,192.168.100.1,36663,192.168.100.3,8192,2,120,RST,1526344333,139,0.000014,0.000014,0,0.000014,0.000014,0.000014,1,1,60,60,71428.57031,0,0,0,Reconnaissance,0
45,1526344333,e,1,192.168.100.150,36663,192.168.100.3,3914,2,120,RST,1526344333,140,0.000029,0.000029,0,0.000029,0.000029,0.000029,1,1,60,60,34482.75781,0,0,1,Reconnaissance,1
46,1526344333,e,1,192.168.100.150,36663,192.168.100.3,11110,2,120,RST,1526344333,141,0.000027,0.000027,0,0.000027,0.000027,0.000027,1,1,60,60,37037.03516,0,0,1,Reconnaissance,3
47,1526344333,e,1,192.168.100.150,36663,192.168.100.3,6567,2,120,RST,1526344333,142,0.000022,0.000022,0,0.000022,0.000022,0.000022,1,1,60,60,45454.54688,0,0,1,Reconnaissance,3
48,1526344333,e,1,192.168.100.1,36663,192.168.100.3,9009,2,120,RST,1526344333,143,0.00004,0.00004,0,0.00004,0.00004,0.00004,1,1,60,60,25000,0,0,1,Reconnaissance,3
49,1526344333,e,1,192.168.100.150,36663,192.168.100.3,9898,2,120,RST,1526344333,144,0.000052,0.000052,0,0.000052,0.000052,0.000052,1,1,60,60,19230.76953,0,0,1,Reconnaissance,3
50,1526344333,e,1,192.168.100.1,36663,192.168.100.3,3369,2,120,RST,1526344333,145,0.000052,0.000052,0,0.000052,0.000052,0.000052,1,1,60,60,19230.76953,0,0,1,Reconnaissance,3
51,1526344333,e,1,192.168.100.150,36663,192.168.100.3,465,3,180,RST,1526344333,146,0.000081,0.000081,0,0.000081,0.000081,0.000081,2,1,120,60,24691.35938,12345.67969,0,1,Reconnaissance,1
52,1526344333,e,1,192.168.100.1,36663,192.168.100.3,49175,2,120,RST,1526344333,147,0.000035,0.000035,0,0.000035,0.000035,0.000035,1,1,60,60,28571.42773,0,0,1,Reconnaissance,1
53,1526344333,e,1,192.168.100.150,36663,192.168.100.3,1801,2,120,RST,1526344333,148,0.000041,0.000041,0,0.000041,0.000041,0.000041,1,1,60,60,24390.24414,0,0,1,Reconnaissance,1
54,1526344333,e,1,192.168.100.1,36663,192.168.100.3,20005,2,120,RST,1526344333,149,0.000034,0.000034,0,0.000034,0.000034,0.000034,1,1,60,60,29411.76367,0,0,1,Reconnaissance,2
55,1526344333,e,1,192.168.100.150,36663,192.168.100.3,49153,2,120,RST,1526344333,150,0.000036,0.000036,0,0.000036,0.000036,0.000036,1,1,60,60,27777.77734,0,0,1,Reconnaissance,2
56,1526344333,e,1,192.168.100.1,36663,192.168.100.3,2179,2,120,RST,1526344333,151,0.000012,0.000012,0,0.000012,0.000012,0.000012,1,1,60,60,83333.32813,0,0,1,Reconnaissance,2
57,1526344333,e,1,192.168.100.150,36663,192.168.100.3,33,2,120,RST,1526344333,152,0.000034,0.000034,0,0.000034,0.000034,0.000034,1,1,60,60,29411.76367,0,0,1,Reconnaissance,1
58,1526344333,e,1,192.168.100.150,36663,192.168.100.3,50300,2,120,RST,1526344333,153,0.000034,0.000034,0,0.000034,0.000034,0.000034,1,1,60,60,29411.76367,0,0,1,Reconnaissance,1
59,1526344333,e,1,192.168.100.27,36663,192.168.100.3,5555,2,120,RST,1526344333,154,0.000036,0.000036,0,0.000036,0.000036,0.000036,1,1,60,60,27777.77734,0,0,1,Reconnaissance,1
60,1526344333,e,1,192.168.100.150,36663,192.168.100.3,6580,2,120,RST,1526344333,155,0.000034,0.000034,0,0.000034,0.000034,0.000034,1,1,60,60,29411.76367,0,0,1,Reconnaissance,1
61,1526344333,e,1,192.168.100.150,36663,192.168.100.3,19350,2,120,RST,1526344333,156,0.000027,0.000027,0,0.000027,0.000027,0.000027,1,1,60,60,37037.03516,0,0,1,Reconnaissance,1
62,1526344333,e,1,192.168.100.27,36663,192.168.100.3,49161,2,120,RST,1526344333,157,0.000029,0.000029,0,0.000029,0.000029,0.000029,1,1,60,60,34482.75781,0,0,1,Reconnaissance,1
63,1526344333,e,1,192.168.100.150,36663,192.168.100.3,1914,2,120,RST,1526344333,158,0.000029,0.000029,0,0.000029,0.000029,0.000029,1,1,60,60,34482.75781,0,0,1,Reconnaissance,1
64,1526344333,e,1,192.168.100.27,36663,192.168.100.3,2301,2,120,RST,1526344333,159,0.000046,0.000046,0,0.000046,0.000046,0.000046,1,1,60,60,21739.13086,0,0,1,Reconnaissance,1
65,1526344333,e,1,192.168.100.150,36663,192.168.100.3,3828,2,120,RST,1526344333,160,0.000046,0.000046,0,0.000046,0.000046,0.000046,1,1,60,60,21739.13086,0,0,1,Reconnaissance,1
66,1526344333,e,1,192.168.100.150,36663,192.168.100.3,5357,2,120,RST,1526344333,161,0.000046,0.000046,0,0.000046,0.000046,0.000046,1,1,60,60,21739.13086,0,0,1,Reconnaissance,1
67,1526344333,e,1,192.168.100.150,36663,192.168.100.3,21571,2,120,RST,1526344333,162,0.000034,0.000034,0,0.000034,0.000034,0.000034,1,1,60,60,29411.76367,0,0,1,Reconnaissance,1
68,1526344333,e,1,192.168.100.4,36663,192.168.100.3,1198,2,120,RST,1526344333,163,0.000024,0.000024,0,0.000024,0.000024,0.000024,1,1,60,60,41666.66406,0,0,1,Reconnaissance,1
69,1526344333,e,1,192.168.100.4,36663,192.168.100.3,1106,2,120,RST,1526344333,164,0.000024,0.000024,0,0.000024,0.000024,0.000024,1,1,60,60,41666.66406,0,0,1,Reconnaissance,1
70,1526344333,e,1,192.168.100.150,36663,192.168.100.3,1070,2,120,RST,1526344333,165,0.000025,0.000025,0,0.000025,0.000025,0.000025,1,1,60,60,40000,0,0,1,Reconnaissance,1
71,1526344333,e,1,192.168.100.4,36663,192.168.100.3,9877,2,120,RST,1526344333,166,0.000041,0.000041,0,0.000041,0.000041,0.000041,1,1,60,60,24390.24414,0,0,1,Reconnaissance,1
72,1526344333,e,1,192.168.100.150,36663,192.168.100.3,6646,2,120,RST,1526344333,167,0.000036,0.000036,0,0.000036,0.000036,0.000036,1,1,60,60,27777.77734,0,0,1,Reconnaissance,1
73,1526344333,e,1,192.168.100.150,36663,192.168.100.3,17,2,120,RST,1526344333,168,0.000041,0.000041,0,0.000041,0.000041,0.000041,1,1,60,60,24390.24414,0,0,1,Reconnaissance,1
74,1526344333,e,1,192.168.100.1,36663,192.168.100.3,801,2,120,RST,1526344333,169,0.00005,0.00005,0,0.00005,0.00005,0.00005,1,1,60,60,20000,0,0,1,Reconnaissance,1
75,1526344333,e,1,192.168.100.150,36663,192.168.100.3,32770,2,120,RST,1526344333,170,0.000049,0.000049,0,0.000049,0.000049,0.000049,1,1,60,60,20408.16406,0,0,1,Reconnaissance,1
76,1526344333,e,1,192.168.100.27,36663,192.168.100.3,1065,2,120,RST,1526344333,171,0.000039,0.000039,0,0.000039,0.000039,0.000039,1,1,60,60,25641.02734,0,0,1,Reconnaissance,1
77,1526344333,e,1,192.168.100.150,36663,192.168.100.3,1081,2,120,RST,1526344333,172,0.00004,0.00004,0,0.00004,0.00004,0.00004,1,1,60,60,25000,0,0,1,Reconnaissance,1
78,1526344333,e,1,192.168.100.27,36663,192.168.100.3,691,2,120,RST,1526344333,173,0.000043,0.000043,0,0.000043,0.000043,0.000043,1,1,60,60,23255.81445,0,0,1,Reconnaissance,1
79,1526344333,e,1,192.168.100.150,36663,192.168.100.3,1048,2,120,RST,1526344333,174,0.000052,0.000052,0,0.000052,0.000052,0.000052,1,1,60,60,19230.76953,0,0,1,Reconnaissance,1
80,1526344333,e,1,192.168.100.150,36663,192.168.100.3,7911,2,120,RST,1526344333,175,0.000033,0.000033,0,0.000033,0.000033,0.000033,1,1,60,60,30303.0293,0,0,1,Reconnaissance,1
81,1526344333,e,1,192.168.100.150,36663,192.168.100.3,13722,2,120,RST,1526344333,176,0.000047,0.000047,0,0.000047,0.000047,0.000047,1,1,60,60,21276.5957,0,0,1,Reconnaissance,1
82,1526344333,e,1,192.168.100.150,36663,192.168.100.3,667,2,120,RST,1526344333,177,0.000047,0.000047,0,0.000047,0.000047,0.000047,1,1,60,60,21276.5957,0,0,1,Reconnaissance,1
83,1526344333,e,1,192.168.100.27,36663,192.168.100.3,8000,2,120,RST,1526344333,178,0.000014,0.000014,0,0.000014,0.000014,0.000014,1,1,60,60,71428.57031,0,0,1,Reconnaissance,1
84,1526344333,e,1,192.168.100.150,36663,192.168.100.3,911,2,120,RST,1526344333,179,0.000014,0.000014,0,0.000014,0.000014,0.000014,1,1,60,60,71428.57031,0,0,1,Reconnaissance,1
85,1526344333,e,1,192.168.100.27,36663,192.168.100.3,5414,2,120,RST,1526344333,180,0.000028,0.000028,0,0.000028,0.000028,0.000028,1,1,60,60,35714.28516,0,0,1,Reconnaissance,1
86,1526344333,e,1,192.168.100.27,36663,192.168.100.3,18040,2,120,RST,1526344333,181,0.000039,0.000039,0,0.000039,0.000039,0.000039,1,1,60,60,25641.02734,0,0,1,Reconnaissance,1
87,1526344333,e,1,192.168.100.150,36663,192.168.100.3,9002,2,120,RST,1526344333,182,0.000027,0.000027,0,0.000027,0.000027,0.000027,1,1,60,60,37037.03516,0,0,1,Reconnaissance,1
88,1526344333,e,1,192.168.100.150,36663,192.168.100.3,9102,2,120,RST,1526344333,183,0.000021,0.000021,0,0.000021,0.000021,0.000021,1,1,60,60,47619.04688,0,0,1,Reconnaissance,1
89,1526344333,e,1,192.168.100.4,36663,192.168.100.3,3851,2,120,RST,1526344333,184,0.000008,0.000008,0,0.000008,0.000008,0.000008,1,1,60,60,125000,0,0,1,Reconnaissance,2
90,1526344333,e,1,192.168.100.150,36663,192.168.100.3,8443,2,120,RST,1526344333,185,0.000034,0.000034,0,0.000034,0.000034,0.000034,1,1,60,60,29411.76367,0,0,1,Reconnaissance,2
91,1526344333,e,1,192.168.100.150,36663,192.168.100.3,340,2,120,RST,1526344333,186,0.000027,0.000027,0,0.000027,0.000027,0.000027,1,1,60,60,37037.03516,0,0,1,Reconnaissance,2
92,1526344333,e,1,192.168.100.4,36663,192.168.100.3,42510,2,120,RST,1526344333,187,0.000021,0.000021,0,0.000021,0.000021,0.000021,1,1,60,60,47619.04688,0,0,1,Reconnaissance,2
93,1526344333,e,1,192.168.100.1,36663,192.168.100.3,50006,2,120,RST,1526344333,188,0.000018,0.000018,0,0.000018,0.000018,0.000018,1,1,60,60,55555.55469,0,0,1,Reconnaissance,1
94,1526344333,e,1,192.168.100.150,36663,192.168.100.3,2041,2,120,RST,1526344333,189,0.000072,0.000072,0,0.000072,0.000072,0.000072,1,1,60,60,13888.88867,0,0,1,Reconnaissance,1
95,1526344333,e,1,192.168.100.1,36663,192.168.100.3,7512,2,120,RST,1526344333,190,0.00007,0.00007,0,0.00007,0.00007,0.00007,1,1,60,60,14285.71387,0,0,1,Reconnaissance,4
96,1526344333,e,1,192.168.100.4,36663,192.168.100.3,259,2,120,RST,1526344333,191,0.000026,0.000026,0,0.000026,0.000026,0.000026,1,1,60,60,38461.53906,0,0,1,Reconnaissance,4
97,1526344333,e,1,192.168.100.27,36663,192.168.100.3,3809,2,120,RST,1526344333,192,0.00002,0.00002,0,0.00002,0.00002,0.00002,1,1,60,60,50000,0,0,1,Reconnaissance,4
98,1526344333,e,1,192.168.100.150,36663,192.168.100.3,3301,2,120,RST,1526344333,193,0.000027,0.000027,0,0.000027,0.000027,0.000027,1,1,60,60,37037.03516,0,0,1,Reconnaissance,1
99,1526344333,e,1,192.168.100.27,36663,192.168.100.3,1085,2,120,RST,1526344333,194,0.000055,0.000055,0,0.000055,0.000055,0.000055,1,1,60,60,18181.81836,0,0,1,Reconnaissance,4
